sku	mfg	supplier	price	description
0531-UDL0023-0003-1WW	Divolight	CDLOG	82.45	Spot Light LED 3" 3W Warm White
0531-UDL0017-0003-1W	Divolight	CDLOG	82.45	Spot Light LED 3" 3W Day White
0531-UDL0019-0003-1W	Divolight	CDLOG	82.45	Spot Light LED 3" 3W Day White
0531-UDL0021-0003-1W	Divolight	CDLOG	82.45	Spot Light LED 3" 3W Day White
0531-UDL0023-0003-1W	Divolight	CDLOG	82.45	Spot Light LED 3" 3W Day White
0531-UDL0025-0003-1W	Divolight	CDLOG	82.45	Spot Light LED 3" 3W Day White
0531-UDL0027-0003-1W	Divolight	CDLOG	82.45	Spot Light LED 3" 3W Day White
0531-UDL0029-0003-1W	Divolight	CDLOG	68.87	Spot Light LED 3" 3W Day White
0531-UDL0024-0005-1WW	Divolight	CDLOG	94.09	Spot Light LED 3" 5W Warm White
0531-UDL0018-0005-1W	Divolight	CDLOG	94.09	Spot Light LED 3" 5W Day White
